,subject,sentence
3649, צורך ,"אין צורך במחיקה מיוחדת מספיק לערוך ולמחוק את המיותר
"
3650, גילגמש ,"איני אומרת שגילגמש תמיד צודק כל אדם עשוי לטעות לעיתים
"
3651, עליה ,"אינכם יוצרים מציאות אבל אתם בהחלט יכולים להשפיע עליה
"
3653, תבניות ,"אל תשים תבניות חשיבות על ערכים אחרים כדי להדגיש עמדה
"
3654, אתה  משפטים  פסקאות  חופשי ,"אם אתה חושב שיש משפטים פסקאות מיותרות תרגיש חופשי למחוק
"
3655, אוכל ,"אם אתה מעוניין אוכל לשלוח אלייך ציטוט מדוייק של הדברים
"
3656, ערך ,"אם בעתיד יורחב הערך באופן ניכר אולי יש לשקול להחזירו
"
3658, לידס ,"אם התכוונתם לקבוצת הכדורגל של העיר ראו לידס יונייטד
"
3659, צורך ,"אם מקבלים פירוש כזה לגזענות אין צורך למחוק את הקטגוריה
"
3661, אני  ערך ,"אני חייב להודות שהערך חשוד בעיני בהפרת זכויות יוצרים
"
3662, אני  אנשים  ערך ,"אני לא בטוח שצריך למחוק אנשים שאין להם ערך בויקיפדיה
"
3663, אני ,"אני ממליץ גם להוסיף את הקואורדינטות לתבנית הטבלה של עיר
"
3664, תקופה  פנתה  טרנר ,"באותה תקופה פנתה טרנר לחיפוש רוחני אותו מצאה בדת הבודהיזם
"
3665, גברים ,"באסלאם "" הגברים זוכים לעידוד להינשא לנשים חופשיות בתחילה
"
3666, תואר ,"בארץ סיים תואר ראשון בחוג לתיאטרון באוניברסיטת תל אביב
"
3667, אלברט ,"בגיל שנה וחצי למד אלברט ללכת גיל שנחשב למעט מאוחר
"
3672, צורות ,"במקרים מסוימים הגיעו צורות אלו לרמת מורכבות גבוהה ביותר
"
3673, שנה ,"בנוסף מדי שנה שכבת י""א מוציאה משלחת למסע לפולין
"
3674, אמצעי ,"בנוסף נדרשים אמצעי זהירות סבירים מפני שינוי תוכן המסמך
"
3675, איגוד ,"בעקבות פרויקט זה הוקם האיגוד הבינלאומי לחקר המחלוקות
"
3676, היסטוריה ,"בערך חטיבת בני המושבים חסרה בעיקר ההיסטוריה של התנועה
"
3677, זוהי ,"בקרבת העיר נמצאים מכרות פחם ולכן זוהי עיר תעשייתית
"
3678, אתרי ,"ברשת יש לא מעט אתרי מעריצים שבנו ילדים חובבי הסדרה
"
3680, יחסים ,"בשלב זה לא היו יחסים דיפלומטיים בין הצלבנים למוסלמים
"
3682, הסלג וקים ,"בתחילת המאה האחת עשרה השתלטו הסלג'וקים על מרכז אסיה
"
3683, האם  אני ,"האם אוכל למצוא בערך באנגלית את המקורות אותם אני מחפש
"
3684, אנו ,"האם גם אנו נוהגים על פי מוסכמות חברתיות החזקות מאיתנו
"
3685, האם  ערבים ,"האם הערבים בזמן הממשל הצבאי היו אזרחים בעלי זכויות
"
3686, נוהל ,"האם ישנו נוהל מסויים של חזרת משתמש לאחר זמן ממושך
"
3688, אנט ,"האנט שסיים את המירוץ שלישי זכה באליפות בהפרש נקודה אחת
"
3689, בורר ,"הבורר יהיה בעל דרגת מרצה בכיר ומעלה במוסד אקדמי מוכר
"
3690, בעיה  אנשים  הצבעות ,"הבעיה היא שאנשים שהצביעו כבר חושבים שאין הצבעות נוספות
"
3691, דבר ,"הדבר יכול לנבוע גם מחוסר הכרות קודם עם הנושא לדוגמא
"
3692, הוא ,"הוא נבחר לעמוד בראש הארגון למרות חוסר הניסיון הצבאי שלו
"
3693, תמונה ,"הוספתי את שמי לרשימה כפי שהצעת ובכל זאת התמונה נמחקה
"
3694, חלקים ,"החלקים האלה לא ראויים לפרסום גם בערך שאמור להיות קיים
"
3695, טילים  אני ,"הטילים שייכים לקטגוריה ולא לתבנית ואני מציע למחוק אותה
"
3696, טענות  מחלוקת ,"הטענות שלי אינן כלפי הטמפלרים אז איפה המחלוקת בעצם
"
3697, טקסט  הוא ,"הטקסט עובר ביקורת ואם הוא מעוות את המציאות ניתן לשנותו
"
3698, אתה ,"היית יכול לבוא ולומר משהו גם לפני שאתה מעביר בחזרה
"
3699, הם ,"הם גם לא מומחים להגברת קול ואפילו לא לטכנולוגיה מסייעת
"
3700, מזנון  צורך ,"המזנון כבר כבד מספיק ואין צורך בדיונים חדשים בזה הרגע
"
3701, מיזם ,"המיזם הוצג מול פורומים מקצועיים אחרים בהזדמנות אחרות
"
3703, ספר ,"הספר אף היה בין חמשת המועמדים האחרונים לפרס ספיר
"
3704, עניין  ניסוח ,"העניין הוא הניסוח גדעון לוי שייך לשמאל הפוסט ציוני רדיקלי
"
3705, עריכה ,"העריכה האחרונה שקבעה שמדובר באותיות הוצבה ללא סימוכין
"
3706, קדמונים ,"הקדמונים אף טרחו לעצב בראשו ארבע קרנות מתוך הסלע הטבעי
"
3708, החלטה ,"התקבלה ההחלטה להקים בית ספר ראשון מסוגו בארץ ישראל
"
3710, משתמש  הוא ,"ואם יתברר שהמשתמש הזה סתם ממציא כמובן הוא נניח חגי
"
3712, הם  הם ,"והם התכוונו למצב רפואי ולא לזה שהם סתם גרועים באנגלית
"
3715, הם ,"טס הולכת בעקבות אנג'ל והם נמלטים יחד מפני אנשי החוק
"
3716, טרנסניסטריה ,"טרנסניסטריה הינו חבל ארץ הנמצא בין אוקראינה לבין מולדובה
"
3717, אנשים  אני  לב ,"יותר מדי אנשים רוצים לעזוב לאחרונה ואני מקווה שלב יחזור
"
3719, ישנ  להקות ,"ישנן כמובן להקות פאוור מטאל גם בארצות אחרות פרט לאלו
"
3721, זה  מאגר ,"כדי לבצע הערכות מסוג זה נדרש מאגר נתונים מספיק גדול
"
3722, כוח ,"כוח צבאי נראה כגורם המכריע בקביעת גבולה המזרחי של פולין
"
3723, כוכבים ,"כוכבים אלו הם הגדולים ביותר שנתגלו ביקום מבחינת נפח
"
3724, ערכים ,"כותב קצת ומוסיף קצת ערכים ביהדות בכלל ועל חב""ד בפרט
"
3725, ודאות ,"ככה לא כותבים אנציקלופדיה ובעיקר כשאין ודאות על יחסו זה
"
3726, זאת ,"כל זאת במאמץ להגיע לערך המאה אלף ללא תבניות שכתוב
"
3727, חובת ,"כמו כן עלי להזכיר שאין חובת נימוק בהסבר לחשיבות הערך
"
3728, כץ ,"כץ כותב ספר שעתיד לראות אור שנה הבאה בעברית ובאנגלית
"
3729, ספורטאי ,"לא היה לפני עוד ספורטאי ישראלי ברמה כזאת שיצא מהארון
"
3731, זה ,"לדעתי אין זה יאה לשבח ויקיפדים מסוימים על פני האחרים
"
3732, הם  חשיבות ,"לטעמי הם גם עסקו באירועים שאין להם חשיבות אנציקלופדית
"
3733, רכס ,"לי רכס בלבד צורם והוספתי את המילה הרים כמקובל בעברית
"
3736, הוא ,"לפני טקס סיום התיכון נתפס כשהוא פורץ לבית הספר שלו
"
3737, או ,"מבחינה חזותית יש מקום לתמונות או איורים רבים יותר כמקובל
"
3739, גרסה  ו ,"מבחינתי הגרסה של אתמול סבירה בהחלט ואפשר להשאיר אותה
"
3741, מוזילה ,"מוזילה עושה דפדפן כדי להגשים את חזון הרשת הפתוחה לכל
"
3742, יכולות ,"מטבע הדברים המשחק מצריך יכולות כדורסל אישיות בלבד
"
3743, מטרתו ,"מטרתו הייתה להשיג הכרה ותמיכה ציבורית רחבה ככל האפשר
"
3745, תפקיד ,"מילא תפקיד חשוב בסוף מלחמת העולם השנייה בקרב על ברלין
"
3747, מנהג ,"מנהג זה נהוג עד היום אצל האיטלקים ורוב קהילות הספרדים
"
3749, מקורו ,"מקורו הטבעי אינו הופך אותו לפחות מסוכן מחומר מלאכותיים
"
3750, משתמשים ,"משתמשים אנונימיים יוכלו לערוך אבל לא ליצור ערכים חדשים
"
3751, צורך ,"משתמשת בשם דורית החליטה שיש צורך למחוק את ההוספה שלי
"
3753, סיפורי ,"סיפורי רובין הוד ממוקמים באופן מסורתי בתקופת ריצ'רד הראשון
"
3754, סיפורים  נצרות ,"סיפורים אלו סייעו לקהילות להסביר כיצד הגיעה אליהם הנצרות
"
3756, תבנית ,"עכשיו אנסה לראות איך מוסיפים תבנית אקטואלי בלי להרוס עיצוב
"
3759, ביקורות ,"עם זאת במהלך השנים הועלו גם ביקורות שונות כנגד המשחק
"
3760, ו  כוכבים ,"עשרים וחמישה כוכבים לבנים נמצאים בתוך המסגרת הכחולה
"
3761, פסקאות ,"פסקאות קצרות עם הפניות לערכים שבמקרה שלך יהיו כחולים
"
3762, צבא  לגיון ,"צבא ירדן שנקרא אז הלגיון הערבי נלחם באזור ירושלים
"
3763, צלב ,"צלב הפוך משמש כסמל השטן בעיקר בהקשר של אנטי נצרות
"
3767, תוספות ,"שחזרתי חזרה לגרסה ההיא אך התוספות שעשית אחר כך נמחקו
"
3769, אתה ,"שמתי לב גם שאתה מרבה לתמוך בהשארת ערכים חסרי חשובים
"
3770, תכנון ,"תכנון אזורי עוסק בסביבה רחבה עוד יותר ברמה פחות מפורטת
"
3771, תמונות ,"תמונות שהעלית בימים האחרונים ולא שולבו בערכים יימחקו
"
3772, תן ,"תן התחייבות לכך ובאופן מיידי תוכל לחזור ולתרום לערך
"
3773, תערוכות ,"תערוכות אלו מוצגות בהמשך באתר האינטרנט של הספרייה
"
3774, אני ,"תקן אותי אם אני חוטא לדעתם של חוקרי ההיסטוריה האתיופית
"
3775, תיכון  ממוקם  היא ,"1 התיכון ממוקם בקרית פנחס אילון שהיא שכונה חדשה יחסית
"
3777, הוא ,"אבקש ממי שרוצה למחוק אותה לנמק לפני שהוא נוקט באלימות
"
3780, אור ,"אור סטודנט בסמינר על בר כוכבא באוניברסיטת תל אביב תבורך
"
3781, הידרו ,"אחרון דיבר הידרו על כלים חדשים שיכולים לסייע לויקיפדים
"
3782, אחרית  חוסיין ,"אחרית דבר בימיו האחרונים נאבק חוסיין במחלת הסרטן
"
3784, אי ,"אי לכך ניתן להשתמש בתמונה זו בערך משפחת סימפסון בלבד
"
3785, מבטאים ,"איך מבטאים את האנרגיה של מערכת עם יותר משתנים חופשיים
"
3787, הוא ,"אינני בקי דיו בכללי הויקיפדיה בכדי להשיב בעצמי לשאלה זו
"
3788, ערך ,"אך עוד בטרם הספקתי להשיב לו נמחק הערך חדשות המשטרה
"
3790, דף ,"אם יצרת בעבר ערך תחת הכותרת הזו יתכן שהדף נמחק
"
3791, אני  הן ,"אם כן אני מבקש כתובת אינטרנט מדויקת אחרת הן יימחקו
"
3792, אנא  סדרה ,"אנא קראי בעיון את תוספות האלמוני בטרם נפתח סדרה חדשה
"
3793, אנגלית  ו  זו ,"אנגלית מדוברת שם בהיקף נרחב וזו שפת הממשלה והמסחר
"
3794, אני ,"אני מבקש לקבל את הנחות היסוד הבאות לגבי עיצוב דפים
"
3795, אני ,"אני מדבר על התקופה שלפני תחילת השיחות הרשמיות עם אש""ף
"
3797, חוקים ,"באקדמיה יש חוקים לגבי הגדרת התוקף של עובדות מסויימות
"
3798, קרוב ,"בארץ ישראל היו קרוב למאה אלף חיילים ואנשי מינהל בריטים
"
3799, התפתחותה ,"בהתאם לכך הייתה התפתחותה כעיר איטית בהשוואה לזו של חיפה
"
3801, רוסים ,"בחודש שלאחר מכן השתלטו הרוסים על שטחים בבעלות סינית
"
3802, ו  אתה ,"בידך תמונה של עטיפת הספר ואתה רוצה להוסיף אותה למאמר
"
3803, בעיה ,"בכל אופן אין כל בעיה מבחינת הרישיון בשתי התמונות שהוספת
"
3804, רחביה  נמצאת ,"בכל אופן רחביה נמצאת מימין לתמונה מצפון לבניין טרה סנטה
"
3806, מספר ,"במירוץ זה הראשון לסיים מספר סיבובים קבוע מראש הוא המנצח
"
3807, אלו  מאמרים ,"במקרים רבים אלו מאמרים שנוצרו על ידי משתמשים לא רשומים
"
3808, ישראל ,"בנוסף שולטת ישראל בשטח הגדה המערבית יהודה ושומרון
"
3809, בקשתו  נדחתה  זכות ,"בקשתו נדחתה בגלל מדיניות אשר שמרה זכות זו לנשים בלבד
"
3810, חבורת ,"בשיטה זו השתמשה חבורת הילדים המתוארת בספר בעל זבוב
"
3813, זה  אנשים ,"בתפקידו זה הוגדר בעיתונות כ "" אחד האנשים החזקים במדינה
"
3818, ערך ,"גם הערך באנגלית ארוך במיוחד יחסית לשאר ספריו של סקוט
"
3819, ו ,"גם ויקיפדים ותיקים מעלים לפעמים ערכים תחילה לארגז חול כזה
"
3820, גבולות ,"גם לוויקיפדיה יש גבולות אך צריך להיזהר בעת השמירה עליהם
"
3821, גבולות ,"גם לויקיפדיה יש גבולות אך צריך להיזהר בעת השמירה עליהם
"
3822, הסבר ,"גם למנהג קריאת מגילת רות בחג השבועות ישנו הסבר חקלאי
"
3823, ציון  ו ,"דורש ציון היה תלמוד תורה בית מדרש ובית ספר בירושלים
"
3824, בניין ,"הבניין החדש תוכנן על ידי משרד האדריכלים ברוך סלומון
"
3825, גוף ,"הגוף המסחרי הוא גורם כלכלי חשוב לעיתון לדוגמה מפרסם גדול
"
3826, חוקים ,"החוקים מתארים את היחסים בין פרטים או מצבים בתחום הידע
"
3827, זו ,"היו טורי ביקורת טלויזיה בשנות השמונים או שזו המצאה מאוחרת
"
3828, כתבות  מראות ,"הכתבות בעיתון אולי מראות על מינימום חשיבות אבל באמת נמוך
"
3829, כתיבה ,"הכתיבה בוויקיפדיה היא בהתנדבות וכך כמובן גם הוספת הניקוד
"
3830, מחנה ,"המחנה היה מוקף כולו בגדר חשמלית כפולה בגובה ארבעה מטרים
"
3831, מידע ,"המידע הקיים בנושא זה בדף השאלות תשובות אינו מספק לטעמי
"
3832, מלחמה ,"המלחמה הפכה את המדינה החדשה לכוח חשוב במערב אירופה
"
3833, נבחרת ,"הנבחרת מנוהלת על ידי פדרציית הכדורגל של אקוודור
"
3834, עריכה ,"העריכה האחרונה שלי בדף השיחה שלך הייתה לפני שנה וחצי
"
3835, ערך  פרסומת ,"הערך ההוא נמחק משום שהיווה פרסומת ואין לו מקום בוויקיפדיה
"
3836, הצבעות ,"הצבעות הנוגעות לערכים ספציפיים נערכות בדפים נפרדים
"
3837, שאלה  האם ,"השאלה היא האם אפשר להפעיל משהו כזה בלי משאבים חיצוניים
"
3838, ג רזי ,"ואולם ג'רזי רשאית מבחינה חוקתית להגביל את ההגירה אל האי
"
3839, טבח  הוא  ערכים ,"טבח בולוניה הוא דווקא בין הערכים המעניינים שהיה לי לתרגם
"
3840, אחד ,"ייתכן שניתן למצוא אסמכתא באחד מספריו או בביוגרפיה שלו
"
3841, חסרה ,"כאן חסרה מאוד סטטיסטיקה כמה חובבים היו בעולם בתקופות שונות
"
3842, נבחרת ,"כיום הנבחרת נחשבת לאחת החלשות ביותר ביבשת אסיה
"
3844, דבר  ו ,"כמובן שבין זה לבין כתיבת אנציקלופדיה אין דבר וחצי דבר
"
3845, סופרי  חלקם ,"כמעט כל סופרי הפנטזיה שקראתי עושים זאת וחלקם ממש גרועים
"
3847, ממשלת ,"לאחר הבחירות הוקמה שוב ממשלת אחדות בראשותו של יצחק שמיר
"
3848, קרטיס ,"לאחר מכן חזר קרטיס לעסוק בעריכת דין בוושינגטון הבירה
"
3851, זכויות  יוצרים ,"למיטב ידיעתי אפילו זכויות היוצרים במקרה שכזה אינם שלי
"
3852, אמה ,"למעשה לולא הטכנולוגיה הרומית האמה הזאת לא היתה יוצאת לפועל
"
3853, זאת  חברה ,"למרות זאת המשיכה החברה להתמקד בעיקר בהפעלת טיסות שכר
"
3854, בויקישיתוף ,"לעומת זאת בויקישיתוף תוכל להעלות תמונות גם ללא שימוש בערכים
"
3855, מבטא ,"לתושבי ניופאונדלנד יש מבטא משלהם כמו גם למזרח קנדה
"
3856, מספרם  ו ,"מאז מספרם פחת בעיר נשארו בודדים והקהילה לא הוקמה מחדש
"
3857, פירוק ,"מאז פירוק הלהקה התאחדו חבריה בהרכב מלא מספר פעמים
"
3860, תבניות  מצב ,"מבחינתי שתי התבניות ישארו כאן באדום עד שהמצב ישתנה
"
3862, מספר ,"מספר ספינות הצי נכנסו לנהר וגם התקדמו לכיוון הקרבות
"
3863, פחד ,"ניסיתי לכתוב ערך למתקפת האיכות והכל שם משעמם פחד
"
3865, סמל ,"סמל אנגולה מייצג בעיקרו את העבר הקרוב של האומה החדשה
"
3866, תמונות ,"עד עכשיו כל התמונות שהעליתי לוויקישיתוף הופיעו גם בגלריה
"
3867, קהילה  היא ,"עכשיו הקהילה בוויקישיתוף החליטה להשאיר מחר היא תחליט למחוק
"
3868, פנייה  השחתה ,"עליך לדעת כי נשקול פנייה לרשויות החוק אם ההשחתה תימשך
"
3869, מדינה ,"עם קום המדינה נתמנה לראש המודיעין הצבאי בדרגת סגן אלוף
"
3870, ערך ,"ערך זה עוסק במחוז הכולל את היישובים הישראלים בשטח זה
"
3871, ערך  מדיניות  נהלי ,"ערך מורחב מדיניות המחיקה ישנם נהלי מחיקה בוויקיפדיה
"
3872, צמצום  היא ,"צמצום יתר המילה מסמלת לילד פחות ממה שהיא אמורה לסמל
"
3873, צריך  גבולות  הם ,"צריך גבולות כמובן אבל לשאוף שהם יהיו מעטים ככל האפשר
"
3875, קישורים ,"קישורים חיצוניים משחקי שחמט של אסר ביוגרפיה של יאן אסר
"
3876, קרונות ,"קרונות הנוסעים כוללים שירותים תאורה ובדרך כלל גם מיזוג אוויר
"
3877, ראו  ברית ,"ראו גם ברית הפלדה ההסכם התלת צדדי הסכם ריבנטרופ מולוטוב
"
3878, לוחות ,"רוב לוחות החשמל מכילים בתוכם גם מערכות הגנה בפני תקלות
"
3879, ריצ י ,"ריצ'י למדה אומנות ומדיה במשך שנתיים באוניברסיטת אריזונה
"
3881, שיפורים ,"שיפורים בחינוך הנשים העלו גם הם את השימוש באמצעי מניעה
"
3882, שכונת ,"שכונת מעלות דפנה מבט אל החלק האחורי של המרכז המסחרי
"
3883, שרידי ,"שרידי הגופות נקברו בקבר אחים בקתדרלת סנט פול בלונדון
"
3885, תפקידה ,"תפקידה במשחקי החיילים היה פשוט לפנות את המתים לארגז
"
3886, אני ,"תרומתך לערכי המדינות חשובה ואני מקווה כי תמשיך בדרך זו
"
3888, קטגוריה  היא ,"אבל בפועל הקטגוריה הזו כוללת רק סרטים שהיא השתתפה בהם
"
3889, טעם ,"אין טעם להשתמש בתעתיק החופשי בצורות שאי אפשר לקרוא אותן
"
3890, זהו ,"אך זהו בלם חשוב למניעת שימוש שרירותי בסמכות מפעיל מערכת
"
3892, רעיון ,"אם כן רעיון המרד הפעיל נחשב לרעיון פגום מבחינה חינוכית
"
3893, זה ,"אם תמשיך בדפוס התנהגות זה תיחסם יכולת העריכה שלך באתר
"
3894, אנחנו ,"אנחנו מסתמכים על עקרון פיזיקלי ולא על המידע שעובר ביניהם
"
3895, אני  התייחסות ,"אני מניח שגם תהיה לנו התייחסות מורחבת של האנשים בקרוב
"
3897, חברים ,"ארבעה עשר מבין המדענים שהיו חברים במכון זכו בפרס נובל
"
3900, ישיבה ,"את שכונת המשפחות במקום ממשיכה הישיבה להפעיל עד היום הזה
"
3901, בבקשה ,"בבקשה הפנה אותי לכללים שנקבעו כאן לגבי אירועים היסטוריים
"
3902, קבוצות  משפחות ,"בד""כ הקבוצות של היום הם המשפחות סדרות סוגים של אתמול
"
3903, פגיעה ,"בדבריו המופיעים בדו""ח הוועדה לא מוזכרת פגיעה בעמוד השדרה
"
3904, מה  מקורות ,"בוודאי שאי אפשר להבין ממנה מה היו המקורות הראשיים לערך
"
3907, שימשו ,"בכמה מקרים אף הוצעו למכירה פומבית פריטים ששימשו פושעים ידועים
"
3908, רשימה ,"בלי קשר לישראל האם הרשימה מלאה מבחינת ארגוני הטרור
"
3909, התקפות  אלו ,"במהלך הימים הבאים באו התקפות נוספות אך אלו נעצרו כולן
"
3910, אינסוף  אפס ,"במקומם יש אינסוף כלומר אלף אפס ערכים אחרים הדורשים שיפור
"
3911, בריכת ,"במרכז הגן נבנתה בריכת מים המיועדת לגידול צמחי מים
"
3913, סביבה ,"בנוסף לכך נפגעה הסביבה הטבעית של נהר הירדן באורח קשה
"
3914, ספירת  להיות ,"בנוסף ספירת האלבומים עשויה לא להיות מדויקת במספר מקרים
"
3915, ראיתי  מישהו ,"בפעם הראשונה ראיתי שמישהו כבר ניסה לפתוח לנו ערך שנמחק
"
3916, דאנקן ,"דאנקן חזר להפגין יכולת חזקה במשחקי הפלייאוף של אותה עונה
"
3917, דבריו ,"דבריו בסעיף זה אינם הסתה אלא ביקורת על התנהלות ויקיפדיה
"
3918, האם  דרך ,"האם יש דרך אחרת למחוק את הגרסאות הלא טובות מההיסטוריה
"
3919, כותב ,"הבאתי את הקישור מפני שהכותב בקי בנושא ומציג גישה מעניינת
"
3920, דברים ,"הדברים שנמחקו היו בבחינת השחתת הערך לאחר עריכתו
"
3921, ו ,"ההיסטוריה של זיהוי מקום המקדש וכל הערכים האחרים ברורה
"
3922, הצעה ,"ההצעה ההצעה מבוססת על הפשרה של עמנואל בצירוף כמה שינויים
"
3923, צרפת ,"הואיל וכך העבירה צרפת את השטח לשליטת בעלת בריתה ספרד
"
3925, היקף ,"היקף פעילותו רוברטס הוא מגדולי שודדי הים אולי הגדול שבהם
"
3926, סוגים ,"הסוגים השונים של משפחה זו נבדלים בעיקר בערכי הפרמטרים
"
3927, עיר ,"העיר החליפה שליטים מספר פעמים אך נותרה בהשפעת הביזנטים
"
3928, ערך ,"הערך אזרבייג'ן הוא המקום הטבעי למידע מכל סוג על המדינה
"
3929, ערך  אני ,"הערך הוא חלק מסדרת מאמרים שלא הושלמה ואני מרגיש חסר
"
3931, תיבה  מתוארת ,"התיבה מתוארת בפרשת נח בספר בראשית כתיבת עץ ענקית
"
3932, תנועה ,"התנועה תמכה ברעיון ובמשך חודשיים עבדו על ניסוח המכתב
"
3933, חברי ,"חברי משפחת המלוכה החברים במסדר אינם נמנים לצורך זה
"
3934, גבול ,"יש גבול לכמות המידע הרלוונטי שניתן לכתוב בכל ערך נכון
"
3935, דיון ,"כך למשל בדף אלמוג התקיים דיון נרחב בערך המרד הגדול
"
3936, רוב ,"ככה באמת בנויים רוב מבני האבן המסורתיים בא""י
"
3937, ממשק  זה ,"כל הממשק מתורגם לעברית זה לא מקצועי להשתמש במילה אנגלית
"
3938, עובדים ,"כל העובדים הערביים הוצאו לחופשה בתשלום למשך ימי הביקור
"
3939, ערוץ  הוא ,"כל ערוץ כניסה מקבל משאבים בהתאם לכמות המידע שהוא מעביר
"
3940, טענותיו ,"כרגע טענותיו של עדי כנגד סילבסטר הראשון נראות חסרות בסיס
"
3942, ניסוח ,"לגבי הנקודה השנייה שציינת הניסוח בערך אכן לוקה בחסר
"
3943, רב ,"לדוגמא מנקודת ראות ויקיפדית אין חשיבות לישיבה בה למד הרב
"
3945, חשוב  תיאור ,"לכן חשוב שבמקום זה התיאור יופיע בדיוק כמו בספרות המדעית
"
3946, יוסף ,"למרות היריבות החליט יוסף למנות את יוחנן למפקד גוש חלב
"
3947, השפעה ,"לספר התנ""ך נודעה השפעה עמוקה גם בדתות המערב האחרות
"
3948, חפיפה ,"לעתים אין חפיפה מוחלטת בין הגאוגרפיה לבין חלוקת המדינות
"
3949, לעתים  קיים ,"לעתים קרובות קיים עניין גדול במספרים סמלים או נושאים מדעיים
"
3953, מבנים ,"מבנים אחרים בפריז לעומת זאת אינם בהכרח ערכים מרכזיים
"
3954, אם ,"מוזיאון ישראל האם אתה סבור שקיבלת אישור לשימוש חופשי בתמונה
"
3955, זו  אנציקלופדיה  זה ,"מכיוון שזו אנציקלופדיה אני רואה בערך כזה ערך בשלבי כתיבה
"
3956, עמודים ,"מעבר לכך ישנם עשרות עמודים המקושרים אליו מתוך ויקיפדיה
"
3957, משתמש ,"משתמש מן המניין לא מתעניין בזה בלאו הכי במדיניות החסימה
"
3959, מתוכם ,"מתוכם היו כאלה שהופיעו לצידו במהלך הקריירה הארוכה שלו
"
3962, סדנאות ,"סדנאות החינוך לכוחות הביטחון הן חלק מפעילות האגודה גם כיום
"
3963, סיום ,"סיום התקופה העות'מאנית תחילתו של המנדט הבריטי גירוש תל אביב
"
3965, פעילותו ,"פעילותו הביאה המוני מבקרים ליהודה ושומרון בחג סוכות האחרון
"
3966, פרטים ,"פרטים נוספים אודות הקובץ ניתן למצוא בדף תיאור הקובץ המקורי
"
3967, מאמץ ,"ראוי מאוד המאמץ להשגת תצלומים של האמן עבור וויקיפדיה
"
3968, ראיתי  אתה ,"ראיתי שאתה היית בין העורכים הראשונים של שכונת שמואל הנביא
"
3970, משתמש ,"שים לב שאותו המשתמש השחית ערכים נוספים שחזרתי אותם כבר
"
3971, שלום ,"שלום ראיתי שהסרת את השינוי שעשיתי בקישור בערך מרכוס הרץ
"
3972, אני ,"תסתכל בשינויים אחרונים אני מנסה ליצור תבנית של תיעוד פניות
"
3973, שורה ,"3 עוד שורה בוויקיפדיה בהפניה למקור רלבנטי לא תגרום נזק
"
3974, אני  אני ,"אבל אני אומר במפורש שאני מומחה קטן מאוד בתעתיק מערבית
"
3977, אי ,"אי לכך ניתן להשתמש בתמונה זו בערך חתונה אמריקאית בלבד
"
3978, מובן ,"אך מובן שניתן להזכיר דמויות משניות במסגרת ערכים אחרים
"
3979, אני ,"את הדברים אני יודע בוודאות אך אנסה להשיג סימוכין רשמיים
"
3983, זכרוני ,"בנוסף אם זכרוני אינו מטעה אותי תמיד התקיימו דיונים בפרלמנט
"
3984, מדינת  רובם ,"בעשורים שלאחר קום מדינת ישראל עזבו רובם בעיקר לאנגליה
"
3985, גרים ,"בתקופת המשנה והתלמוד בין תלמידי החכמים היו גרים רבים
"
3986, צורך ,"די בכך ואין צורך בהפניה ממרחב הערכים למרחב ויקיפדיה
"
3987, אוויר  עליונות  כוללות ,"דרכי האוויר העליונות כוללות את האף הפה ותחילת קנה הנשימה
"
3988, הגעת ,"הגעת האסלאם לאתיופיה החלה מיד עם יסוד הדת במאה השביעית
"
3989, הערכה  הוא ,"ההערכה שלך שמשתמש שעושה בעיות הוא תמים עכשיו לוקה בחסר
"
3990, טקס  נערך ,"הטקס הרשמי נערך במהלך משחקי המכביה השמונה עשרה
"
3991, מטרה ,"המטרה הראשית של הטרור הפלסטיני היא פגיעה ביהודים ישראלים
"
3992, שימוש ,"השימוש העממי הנרחב במדינות המערב החל בארצות הברית
"
3993, ויקיפדיה  פורומים ,"ויקיפדיה אינה המקום לדברים כאלה יש מספיק פורומים באינטרנט
"
3994, זו ,"זו הייתה הזכייה הראשונה של ישראל בתואר כדורגל אירופי כלשהו
"
3995, זוהי ,"זוהי הפעם הראשונה בה אמן ישראלי התמודד והשתתף בטקס זה
"
3996, חברי ,"חברי ההרכב הראשון היו אריק איינשטיין יהורם גאון ובני אמדורסקי
"
3997, חייו ,"חייו הפרטיים ארמסטרונג הוא דמות מפורסמת מאוד בארצות הברית
"
4004, מורה ,"לרמב""ם בספרו מורה נבוכים גישה אחרת לגמרי לנושא הקורבנות
"
4009, סוכני ,"סוכני אש""ף כינוי גנאי לחברי הכנסת הערבים בידי אנשי ימין
"
4010, סטטיסטיקה ,"סטטיסטיקה בנמל התעופה עוברים כ 2 5 מיליון נוסעים בשנה
"
4011, סימן ,"סימן משמעותי נוסף הוא היעדר ההומור אצל המנהיג ואצל חסידיו
"
4012, סיפוח ,"סיפוח הגולן למדינת ישראל לא הוכר מבחינת החוק הבינלאומי
"
4013, עמוד ,"עמוד זה מכיל את רשימת הערכים חסרי התמונות בקטגוריה עמים
"
4014, ערך ,"ערך שנמחק לא ישמש את הוויקיפד לעבודתו בוויקי ולכן פסול
"
4016, כרכים ,"שלושה כרכים הופיעו עד כה בתרגום לשפה הגרמנית בתוספת הערות
"
4017, ספרים  קורא ,"שני הספרים שאליהם מופנה הקורא לקריאה נוספת כתובים ברומנית
"
4018, עבודות ,"שתי העבודות בהנחיית פרופ' יהודה פליקס וד""ר יוסף דרורי
"
