,subject,sentence
692, קרב ,"הקרב המכריע המערכה לכיבוש חיפה בוצעה באמצעות חטיבות פרשים
"
694, זהו ,"זהו לכו להרחיב קצרמרים גם כתיבת ערכים חדשים תתקבל בברכה
"
695, אחוז ,"כך למשל אחוז שומרי המסורת גבוה במיוחד בקרב יהודים מזרחים
"
697, להקה ,"לאחר מכן החליטה הלהקה לפצל את הפרויקט לשני אלבומים שונים
"
698, התייחסות ,"לדעתי בשיח הציבורי יש בעיקר התייחסות לתוכנית השלבים של אש""ף
"
699, הן ,"לרוב יחידות המשנה הראשיות הן חטיבות עצמאיות למחצה בארגון
"
700, מלחמה ,"מן הבחינה העולמית היוותה המלחמה מבחן מוצלח לציר גרמניה איטליה
"
701, מנהל ,"מנהל תוכנית הפסטיבל ארז פרי מרצה בחוג לקולנוע במכללת ספיר
"
702, מספר ,"מספר ויקיפדים הביעו את רצונם לעזור בקישור המופיע בחתימה שלי
"
704, אפשרות  תמונות ,"אין אפשרות להעלות לוויקיפדיה תמונות באופן חופשי מרחבי האינטרנט
"
705, אירועים  ראשוני ,"אירועים כ""ו בחשוון ראשוני העולים במבצע משה מגיעים ארצה מאתיופיה
"
707, מצרים ,"את האמנות יצרו המצרים עבור המלכים שלהם אשר נחשבו לאלים
"
708, היטלר  ממשלת ,"את סלובקיה הותיר היטלר כמדינה עצמאית למחצה שבראשה ממשלת בובות
"
711, מנחה ,"במקומות עבודה רבים מתפללים מנחה גדולה בצמוד להפסקת צהריים
"
714, תלמידים ,"בשלב הסיום יכתבו התלמידים ערך שחסר לחלוטין לפי איסוף מידע
"
715, יהודים ,"היהודים ברובם היו בעלי מלאכה ורק מעטים עסקו במקצועות אחרים
"
716, מבנה ,"המבנה הפך לאחר מלחמת העולם הראשונה למוסד חינוכי ראו להלן
"
717, מידע  לכן ,"המידע שהעלית מתאים לדפי זהב ולא לאנציקלופדיה ולכן נמחק
"
718, מלך ,"המלך הבולגרי פרדיננד הראשון היה נצר למשפחת סקסה קובורג גותה
"
719, שימוש  ו ,"השימוש בדרגות חופש רציפות מקובל יותר וגם מאפשר ניתוח תאורטי
"
720, בקר ,"ולכן בטרם בקר האפיפיור בבית הכנסת הוצאו ממנו ספרי התורה
"
721, חלוקה ,"יותר מזאת חלוקה כזו מקובלת מאוד בשלל ערכים אחרים בוויקיפדיה
"
724, מלון ,"לאורך השנים מילא המלון תפקיד חשוב בחיי התרבות של ירושלים
"
726, מונטגומרי ,"לאחר סיום המלחמה מונה מונטגומרי לראשות צבא הכיבוש הבריטי באירופה
"
727, משתמש  היא ,"לבסוף המשתמש קומולוס העלה את ההצעה לפרלמנט והיא עברה בחיוב
"
729, ערך ,"לצערי הערך הנ""ל בויקי האנגלית מפורט אפילו פחות מזה שכתבתי
"
730, עריכות ,"מכיוון שאין לי מספיק עריכות לאחרונה בוויקיפדיה אבקשך לפתוח אחת
"
731, תמונה ,"מכיוון שמדובר באנציקלופדיה חופשית התמונה צריכה להיות חופשית אף היא
"
732, ספרי ,"ספרי הקודמים הטכניים התפרסמו בהוצאת האוניברסיטה של קיימברידג'
"
735, קישורים ,"קישורים חיצוניים מאה שורות של משולש פסקל כל המתמטיקה שמאחורי
"
736, יישובים ,"שבאזור הוקמו יישובים ובמשך הזמן גם חוות חקלאיות לגידול בקר
"
737, ים  ערך ,"שים לב שעדיין נדרשת ויקיזציה כדי שהערך יוכל להישאר עמנו
"
741, מקדונלד ,"בספטמבר הגיש מקדונלד לחבר הלאומים הצעה לפירוק נשק באירופה
"
742, ו ,"בעקבות המשחק הראשון הופיעו משחקים נוספים סדרת טלוויזיה וסרטים
"
744, זו ,"בתחילה הייתה זו האימפריה הפורטוגזית אחר כך הולנד ולבסוף בריטניה
"
745, מניעה ,"דרכי מניעה רוב הרופאים ממליצים להתחיל תחילה בשינויים בסגנון החיים
"
746, אלבום ,"האלבום הצליח מבחינה מסחרית אך נחשב פחות מוצלח מהאלבום הקודם
"
747, ו  בניו ,"הצגות הבכורה בפריז בלונדון בפלורידה ובניו יורק זכו לתגובות שונות
"
749, תיבה  היא ,"התיבה הפכה להיות משותפת לכל הערכים והיא נמצאת באלגברה לינארית
"
750, מנהגים  בוא ,"יש מנהגים יהודיים חילוניים למהדרין בוא פעם לקיבוץ לטקס שבועות
"
751, כך ,"כך קרה בפרשת הפצצת המתקן הגרעיני בסוריה לפני כמה חודשים
"
752, ספרות ,"לאחר שירותו הצבאי בחיל האוויר למד ספרות באוניברסיטת תל אביב
"
754, זה ,"לדעתי זה לא טיעון תקף כשמדובר באנציקלופדיה שאמורה להעביר ידע
"
755, איינשטיין  ו  זוהי  פרשנות ,"לכך התנגד איינשטיין וזוהי הבעייתיות אותה פרשנות קופנהגן מציגה
"
758, מקסוול ,"מקסוול הוכיח את התפשטות השדות בצורת גל במהירות הניתנת לחישוב
"
759, עמוד  חסרי ,"עמוד זה מכיל את רשימת הערכים חסרי התמונות בקטגוריה ירושלים
"
761, תגלית ,"תגלית זו נחשבת לאחת המרכזיות במדע האסטרונומיה מאז ומעולם
"
762, אוניית ,"אוניית המלחמה של הצי האמריקאי פותחת בירי תותחים על המפלצת
"
763, יהודים  קריסת ,"אלפי יהודים מחבר המדינות התיישבו בגרמניה מאז קריסת חומת ברלין
"
764, משבר ,"באופן דומה המשבר הכלכלי הפריע לגיוס משאבים לפיתוח א""י
"
766, זו  חשש ,"בהקשר שלפנינו ברור שזו התייחסות לפורמט ולכן אין חשש לבלבול
"
767, מתיחות  שלטון ,"במצרים עדיין יש מתיחות מסוימת בין הבדואים לבין השלטון המרכזי
"
769, מנזר ,"המנזר מסביב לכנסייה שוכנים חדרי הנזירים שנבנו במהלך השנים
"
770, השפעתה ,"השפעתה המסחרית הגיעה עד בריטניה בצפון ועד מרכז אפריקה בדרום
"
771, ויקיפדים  תבנית ,"ויקיפדים בעלי זכות הצבעה רואים חשיבות בקיומו ולפיכך התבנית הוסרה
"
772, חברי ,"חברי הארגון פועלים לעתים בכפרים ערביים כדי להפריד זוגות מעורבים
"
773, דעות ,"כבן למחוז בשליטה גרמנית בעבר הציג דעות קיצוניות כנגד גרמניה
"
774, היא ,"לפני תחילת קריירת המשחק שלה היא למדה ספרות באוניברסיטת קולומביה
"
777, הם ,"פעלתי לפי הנהלים הוויקיפדיה והם מאפשרים לי למחוק פרסומות כאלו
"
779, מפקדים ,"בערך מוזכרים המפקדים הצבאיים וראשי המפקדה הארצית הפוליטיים
"
780, סובייטים ,"הסובייטים הגיבו במכתב פומבי של המפלגה הקומוניסטית של ברית המועצות
"
781, ספר ,"הספר מתאר את מסעו של אלכסנדר הגדול לכיבוש האימפריה הפרסית
"
782, שניה ,"השניה אולי ראוי להוסיף אזהרה לפני הפרק הפרעות ביהודי בוקרשט
"
784, חוסר ,"חוסר הפעולה נתן לאנשי הסיעה הקיסרית הזדמנות לפעול נגד הקושרים
"
787, פרסום ,"לדבריו של אחד המשתתפים בדיון הדבר גרר פרסום שלילי לוויקיפדיה
"
788, חברה ,"לכן בבדיקה החוזרת החברה במטבח מגוונת פחות מהחברה במעבדה
"
789, נבחרת ,"נבחרת הרפובליקה הדומיניקנית מעולם לא העפילה למשחקים האולימפיים
"
790, נבחרת ,"נבחרת צרפת נחשבת לאחת נבחרות הכדורסל הטובות באירופה ובעולם
"
792, מירוץ ,"אם התכוונתם לגרסה הישראלית של התוכנית ראו המירוץ למיליון ישראל
"
793, היא ,"היא אף זכתה בשנית בגביע הפדרציה הפעם במסגרת גרמניה המאוחדת
"
795, נבחרת ,"נבחרת איטליה נחשבת לאחת נבחרות הכדורסל הטובות באירופה ובעולם
"
796, אתה ,"אתה מוזמן לשלוח דואל באתר ולבקש אישור להעלאת התמונה בויקיפדיה
"
797, מקור  אינדקס ,"המקור הוא אינדקס האוניות העבריות שבאתר המוזיאון הימי הלאומי חיפה
"
798, קבוצה ,"הקבוצה התנגדה לתוכנית אוגנדה תוכנית להקמת מדינה יהודית במזרח אפריקה
"
799, אוניברסיטת ,"הקים את האקדמיה של פילדלפיה שממנה התפתחה אוניברסיטת פנסילבניה
"
800, נכנסתי  תרגמתי ,"נכנסתי לוויקיפדיה באנגלית התרשמתי תרגמתי את הפתיח כמעט מילה במילה
"
801, משחק ,"המשחק משתמש במערכת קרב הדומה למשחקי אסטרטגיה מבוססי תורות
"
804, סרט  סרט ,"הסרט בעיניים ישראליות הסרט התקבל בארץ בתקופתו בהתלהבות רבה
"
806, זאב ,"לקריאה נוספת זאב וילנאי אריאל אנציקלופדיה אנציקלופדיה לידיעת ארץ ישראל
"
807, תוצאות ,"תוצאות המבצע מבחינה צבאית מבצע חומת מגן היה הצלחה
"
808, הוא ,"הוא הפך לצורת הצילום המסחרי הראשונה וזכה להצלחה עצומה
"
809, ציונית ,"ציונית עצמאות הקמת גרעין צבאי על א""י צריך להגן
"
810, ממלכת ,"למרות נסיונות צבאיים הצליחה ממלכת קונגו לשמור על עצמאותה
"
812, תרגום ,"אפשר גם לחכות עד שהתרגום של הספר לעברית יצא בדצמבר
"
813, חשיפה ,"החשיפה הראשונה מחוץ לרשת פרויקט יקר מאוד של הקהילה עצמה
"
814, אתה ,"ואתה תמצא מעט מאוד סרטים כאלה שזכו להצלחה מסחרית עצמאית
"
815, זו ,"זו הזדמנות מצוינת להביא את בשורת ויקיפדיה לציבור המקצועי
"
816, חזרת ,"טוב שחזרת צריך לכנס את הכוחות בדחיפות ולהתחיל לעשות רעש
"
817, חוסר  חיפוש ,"כאשר החלה חוסר שביעות הרצון החל חיפוש אחר שורשי הביקורת
"
818, טכנולוגיה ,"כפי שציינתי לעיל נחוץ טכנולוגיה שבו יופיעו גם ענייני מחשבים
"
819, אנו  הצעה ,"מבחינת התרגום לעברית אנו חושבים שההצעה של אביעד מוצלחת
"
821, ישראל ,"מדוע צריך לציין במפורש בפסקת הפתיחה שישראל שלחה סיוע
"
823, צבא ,"צבא הממלכה גויס בצורה דומה לגיוס צבאות ימי הביניים באירופה
"
825, ידיעה ,"באמצע פברואר הגיע הידיעה על האירוע מארצות הברית לארץ ישראל
"
827, קיד ,"בצעירותו הצטיין קיד גם בכדורגל ובמספר ענפי ספורט נוספים
"
828, פיינברג ,"בתחילה הציע פיינברג לעורר מרד צבאי של היישוב בסיוע הבריטים
"
829, סגנון ,"הסגנון היה מצוין עבור ספר לימוד אבל פחות טוב לאנציקלופדיה
"
830, דבר ,"הצצתי במדיניות השמות של ויקיפדיה והדבר איננו מוזכר שם
"
831, שחייה ,"השחייה ברוב התחרויות מתבצע מקצה זה באגם או בים הפתוח
"
833, חפצים ,"ישנם חפצים שאותם ניתן להשיג רק באירועים מיוחדים במשחק
"
834, בית ,"כל בית מקיים הצבעה המורכבת משני סיבובים לבחירת נציג יחיד
"
835, מישהו ,"כמובן אם מישהו חושב שצריך לקצץ לשכתב לערוך לשחזר מוזמן
"
836, כמות  כולל  פורטל ,"כמות המידע הרלוונטי כולל ערכים מומלצים בהחלט מצדיק פורטל
"
837, שלושה ,"לאחר יציאת האלבום יצאו השלושה לסיבוב הופעות ענק בכל העולם
"
838, מהלך ,"מהלך הקרב פיוטר הגדול החליט לנצל את הפיצול בכוח השבדי
"
839, מסע ,"מסע ציבורי נרחב נוהל נגד הממשלה ויצחק רבין שעמד בראשה
"
840, רופאים ,"מעט רופאים נכנסים לאנציקלופדיה מפני שעסקו במקצוע ריפוי חולים
"
841, תשובה ,"מתברר שהתשובה לשאלה האחרונה פשוטה במיוחד ארבע פעולות החשבון
"
842, אני  שיטה ,"עבור הסביבה העירונית אני מסכים בהחלט שצריך לאמץ עוד שיטה
"
843, קישורים ,"קישורים חיצוניים אתר הבית של הלהקה גרמנית אנגלית צרפתית
"
845, רובם ,"רובם אלמונים לחלוטין אפילו בארה""ב מחוץ למחוזות הבחירה
"
846, שלט ,"שלט האצולה נמצא בבעלותו של אדם יחיד בניגוד למשפחה שלמה
"
847, אופציה ,"אפילו בבחירות בברית המועצות הייתה אופציה להצביע לא בעד המפלגה
"
848, קרבות ,"במהלך הקיץ התרחשו מספר קרבות עם הצלחות לשני הצדדים
"
849, משפחה ,"בעקבות עליית הנאצים לשלטון החליטה המשפחה לעזוב את גרמניה
"
850, נוצרה  מערכת ,"בשלבים מאוחרים נוצרה מערכת שמש המוכרת לנו פחות יותר היום
"
851, ארצות ,"בתקופתו כמזכיר המדינה לקחה ארצות הברית חלק במלחמת קוריאה
"
853, חלקים  אתה ,"החלקים שאתה מציין הם חלק אינטגרלי מההיסטוריה של הפיזיקה
"
854, ספר ,"הספר מנסה לעקוב אחר המפנה בעיצוב הזהות הלאומית במצרים
"
857, פרדוקס ,"כתוצאה מכך נוצר פרדוקס אשר עלול לגרום מרטי לחדול להתקיים
"
858, אני ,"לגבי תיארוך הפחמן אני אוסיף את התוצאות גם בפיסקה המוקדמת
"
859, סיפור  הוא ,"לדוגמה הסיפור של דפדפן האינטרנט שהוא מוצר צריכה המוני וחשוב
"
861, חיילי ,"מאיפה לכותב לדעת מה חשבו חיילי ארצות הברית במלחמת וייטנאם
"
862, מצב ,"מצב זה נפוץ בדמוקרטיה פרלמנטרית בעלת מערכת דו מפלגתית
"
863, מקצועיות ,"מקצועיות איני יכול לשפוט בקטגוריה הזו מפאת חוסר הבנה בתחום
"
865, רצונם ,"רצונם היה להכות שורשים בארץ החדשה ולשנות את אורח חייהם
"
866, אזורים ,"אזורים אלו היו בסיסים של הצבא הלבן במלחמת האזרחים ברוסיה
"
867, החליטו ,"אחרי הרצח השמיני במשפחה הנשים החליטו לדבר כתבה בהארץ
"
869, צדדים ,"אם יש שני צדדים שמגיעים לנקודת שוויון זה אנציקלופדי למהדרין
"
870, אני  חשיבות ,"אני מבקש להצטרף לדעתם של אלו הסבורים שיש חשיבות לערך
"
871, אפשרות ,"אפשרות נוספת היא למחוק לחלוטין ולמנוע את פתיחת הערך בעתיד
"
872, שנים ,"ארבע שנים אחר כך ג'קסון התמודד שוב כמועמד הדמוקרטים לנשיאות
"
874, יפו ,"בזמן מסעי הצלב הייתה יפו מחוז בממלכת ירושלים הצלבנית
"
875, אפשרויות ,"בחוץ לארץ יש שתי אפשרויות לשינויים לעומת הקריאה בארץ ישראל
"
876, ביקור ,"ביקור משלחת קציני צה""ל באתרי השואה בפולין בשיתוף דובר צה""ל
"
877, בית ,"בית הכנסת מלבד היותו מקום פולחן שימש כמרכז ציבורי לקהילה
"
878, ביצועים ,"במהלך הפסטיבל בוצעו שישה ביצועים ביניהם של ארבעה זמרים מוכרים
"
879, חלק ,"במידה שיש חלק בעייתי אפשר למחוק וליצור אותו מחדש במהירות
"
880, ניצחון ,"במירוץ לאחר מכן הוסיף ניצחון שני ברציפות במירוץ בדרום אפריקה
"
881, ברקאי ,"במלחמת העצמאות שימש ברקאי כסגן אלוף בממשל הצבאי בגליל
"
882, בן ,"בן למשפחה מיוחסת ממוצא אירופאי גדל בסביבה נוחה מבחינה כלכלית
"
883, כוחות ,"בנוסף הצליחו הכוחות הערביים לעצור את זרם המים לירושלים
"
885, עלייתה ,"בתקופת שלמה בערך החלה עלייתה של משפחת צדוק לכהונה הגדולה
"
886, דור  משפחתה ,"דור שני בארצות הברית כאשר משפחתה במקור הגיעה מצפון איסלנד
"
887, ביקורת ,"הביקורת של אלכס שמופיעה בתקציר שינוי השם חסרת טעם לחלוטין
"
889, דמויות ,"הדמויות השתמשו באמצעים שהיו בשימוש נרחב בעת כתיבת הספר
"
890, ביקור ,"הזמן המועדף לביקור בפארק מבחינת מזג האוויר הוא בתחילת הקיץ
"
892, מפורסם  וינסטון ,"המפורסם מכולם היה ראש ממשלת בריטניה לשעבר סר וינסטון צ'רצ'יל
"
893, נוהל ,"הנוהל שנקבע הוא שכדי לפתוח קטגוריה צריך חמישה ערכים לפחות
"
894, שאלה ,"השאלה היא האם מפעילי המערכת האחרים חושבים שכך צריך להיות
"
895, זה  מזכיר ,"זה מזכיר עיתונים מסוימים שהיו מציגים תמיד תמונות מתנחלים חמושים
"
896, חריגה  יצירת ,"חריגה מכלל זה אפשרית כאשר יצירת הערכים צפויה בעתיד הקרוב
"
897, התפתחות ,"לאחר ניסוח חוקי קיימברידג' חלה התפתחות מהירה בכדורגל האנגלי
"
898, מניע ,"לכאורה המניע למלחמה הוא עימות שבא לאחר הפסד במשחק כדורגל
"
899, רכבת ,"לכבוד חגיגות המילניום החלה להיבנות רכבת תחתית לאורך קאזאן
"
900, הקפדה ,"לעתים במשחקי חובבים אין הקפדה על כל חוקי הכדורגל המקצועי
"
901, מדינה ,"מדינה בעלת משטר צבאי מחזיקה חיילים המיועדים לשמור על הסדר
"
902, מנסל  עונה  חמישי ,"מנסל זכה במירוץ אחד באותה עונה בפורטוגל וסיים חמישי באליפות
"
903, מעמדה ,"מעמדה הפוליטי של פוארטו ריקו נתון במחלוקת בקרב הציבור באי
"
904, מתנגדי ,"מתנגדי החוק רואים בו פגיעה חמורה בזכויות האזרח במדינת ישראל
"
905, סדר ,"סדר בתמונות מחקתי סמל תנועת ביתר שהוצגה כסמל בית הספר
"
906, קישורים ,"ערכתי מחדש כידוע לך קישורים אדומים הם מנועי צמיחה לויקיפדיה
"
907, ו ,"פרנק סינטרה ואלה פיצג'רלד נפגשו פעמים מספר להופעות משותפות
"
908, קישורים  פרק  מכונת ,"קישורים חיצוניים הפרק הראשון של הספר מתוך האתר מכונת קריאה
"
910, שמונים ,"שמונים אחוז מכוח העבודה עוסק בחקלאות היתר במסחר ושירותים
"
913, אנחנו  ספק ,"אנחנו מעדיפים למחוק דפים שיש ספק לגבי זכויות היוצרים שלהם
"
914, הוא ,"את תחילת הקריירה הוא החל בארגונים קטנים במיוחד באזור מונטריאול
"
917, קווי ,"בחלק הדרומי של החזית הפכו קווי האספקה הגרמנים ארוכים מדי
"
919, מספר ,"במהלך הקריירה פרסם מספר קובצי שירה שזכו לפופולריות גבוהה
"
920, חלק ,"במהלך ימי הביניים לוחמת מצור הייתה חלק הארי בלחימה באירופה
"
921, מעבר ,"במוצאי אותה שבת מתקיים טקס בו מתבצע המעבר לשבט הגבוה
"
922, קטלוניה ,"במשך השנים הבאות הפכה קטלוניה בהדרגה לפחות ופחות עצמאית
"
925, מנחה ,"ברוב בתי הכנסת מתפללים מנחה לקראת שקיעת החמה בצמוד לערבית
"
926, גאוגרפיה ,"גאוגרפיה מלבורן ממוקמת בקצה הדרום מזרחי של יבשת אוסטרליה
"
928, הוא  מדיניות ,"הוא המליץ להשאיר רווח האם יש לויקיפדיה מדיניות מסודרת בנושא
"
929, הוא ,"הוא כולל בין היתר את ההרוגים הארץ ישראליים במלחמות העולם
"
930, חפירות ,"החפירות נעשו בסטנדרטים חדשים מעבר למה שהיה מקובל בתקופתו
"
932, מחלקה  הוא ,"המחלקה אחראית על תחזוקת קטלוג הספרייה שהוא כיום לרוב ממוחשב
"
933, תסריט ,"התסריט עבר שינויים רבים במהלך כתיבתו אפילו עד תחילת הצילום
"
934, יצירת ,"יצירת תמונה בעלת תחום דינמי רחב מורכבת משני תהליכים עיקריים
"
936, רמזים ,"יש רמזים שחשוב לזכור לבגרות אבל לא חשוב לציין באנציקלופדיה
"
937, הצבעת ,"לאחרונה נערכה הצבעת מחיקה על האיש השמן בעולם מאות ק""ג
"
938, התנגדות ,"לידיעתך הצעתי אותך במפעיל נולד ומקווה שאין לך התנגדות עקרונית
"
939, זה  ישראל ,"למעשה זה מובן מכיוון שישראל גורמת ליצירת תחושות אנטישמיות ""
"
942, יקיפדיה ,"מבחינתי ויקיפדיה אמורה לנסות להקיף את כל תחומי הידע האנושי
"
943, ו ,"מחלוקות יוחנן העשרים ושניים היה מאוד מעורב בפוליטיקה אירופית
"
944, עצם ,"עצם הדיון שנעשה בערך בשמו הנכון וכו' משמעו הכרה בחשיבותו
"
946, אני  אתה ,"פנה בבקשה ליוצר הפורטל אני מניח שאתה מתכוון לנצרות דניאל
"
947, שטח ,"שטח המועצה משתרע מירושלים במזרח לכיוון השפלה במערב
"
948, שטח ,"שטח נרחב ידיים מזרחית לשני הקודמים המשמש בעיקר לחקלאות
"
949, ערך  ערך ,"אבל ערך על לימוד שפות באמצעות האינטרנט יהיה ערך אנציקלופדי
"
950, אלו  טיעונים ,"אלו מקרים חריגים כי הטיעונים של הערכים שנויים במחלוקת מסוימת
"
951, אני  קישורים ,"אני לא מצליח להדפיס ערך בויקיפדיה כאשר ישארו הקישורים עליו
"
952, מלחינים  פסנתר ,"ביצירות רבות שכתבו מלחינים אלה הפסנתר משמש כלי נגינה מרכזי
"
954, מטרת ,"בניגוד לדבריך פה מטרת התבנית להקטין את מספר הצבעות המחיקה
"
955, אוכלוסייה ,"בסיום המלחמה ניכר היה כי האוכלוסייה האזרחית נפגעה קשה במיוחד
"
956, ארגון ,"הארגון לשחרור פלסטין תוכל לסייע ברשימת הערכים החסרים שם
"
957, משרד  חשיבות ,"הודעת הפירוק חדשה וגם להסבר שנתן משרד המשפטים יש חשיבות
"
958, וועידה ,"הוועידה הלאומית הייתה צעד ראשון בשחזור של ממשלה לגיטימית מרכזית
"
959, מאמצים ,"המאמצים של שני האישים תרמו משמעותית לקידום תחום הנדסת החשמל
"
960, מחקר ,"המחקר בנושא הפוסט טראומה החל כבר בעקבות מלחמת העולם הראשונה
"
961, מפלגה  דוגמה ,"המפלגה החדשה נערכה באופן ששימש דוגמה למפלגות אחרות בעולם
"
962, ספר  עותקים ,"הספר הודפס במהדורה אחת בלבד וכיום נותרו ממנו עותקים בודדים
"
963, התנגשויות ,"התנגשויות כאלו שהיו שכיחות בעבר ביקום הצעיר נדירות יותר כיום
"
964, תרשים  משחקי ,"התרשים הבא מראה איך משחקי הפירמידה הופכים בלתי אפשריים לקיום
"
965, הוא ,"ולגבי העיצוב לדעתי הוא מתאים יותר לאתר מעריצים ולא לויקיפדיה
"
966, זוהי  אנחנו ,"זוהי ויקיפדיה בעברית ואנחנו משתדלים לא לכתוב שמות ערכים באנגלית
"
967, חוק ,"חוק האוסר את צריכת האלכוהול ברחובות מלבד בזמן חגיגות מקומיות
"
969, קשרים ,"לצבא האדום היפני היו קשרים עם החזית העממית לשחרור פלסטין
"
971, קישורים ,"קישורים חיצוניים אתר האגודה הישראלית נגד ניסויים בבעלי חיים
"
972, אירועי  הוא ,"אירועי הלילה ההוא יהפכו לבעלי משמעות אדירה בשנים שלאחר מכן
"
973, אליוט ,"אליוט הנחשבת לאחת היצירות החשובות בשירה האנגלית המודרנית
"
974, תפקידים ,"בהנחה ששני התפקידים היו חופפים אפשר להסתמך על התאריכים שם
"
975, תואר ,"בימים אלה לומד באוניברסיטת ת""א תואר ראשון בהיסטוריה ופילוסופיה
"
976, אני ,"בינתיים אני חושב לפתוח על תחנת הרכבת ירושלים בנייני האומה
"
977, להלחם ,"במקום להלחם תנסה להתאים את כתיבתך לסגנון המקובל בוויקיפדיה
"
978, היסטוריה ,"היסטוריה במהלך התקופה הרומית האזור כולו חולק למספר ערי מדינה
"
979, הסדרה ,"הסדרה עוקבת אחרי עולם הכדורגל ואחרי ראש הממשלה שעומד למות
"
980, עקרון ,"העקרון השני הוא אחידות בהפניה למקורות חיצוניים בהערות שוליים
"
981, מקום ,"ומכאן שלא היה מקום לשואה כגורם מרכזי בעיצוב הזהות הישראלית
"
982, חוקרי ,"חוקרי ספרות רבים פרסמו פירושים משלהם לקובץ ביניהם מרדכי שלו
"
983, לשון ,"חסימה לצמיתות לשון האיומים שבה השתמשת בוויקיפדיה היא בלתי נסבלת
"
985, מספר ,"כמו כן מספר כותבים ישראליים זכו להופעת הבכורה שלהם במגזין
"
986, אבו ,"לטענתו את המבצע מימן אבו מאזן לימים נשיא הרשות הפלסטינית
"
987, אני ,"לכן אני מסכים להפעלת הבוט בהתאם להחלטה שהתקבלה בפרלמנט
"
988, ויזואלית ,"למדתי רבות מהקישורים וערכתי ויזואלית את הערך כמיטב יכולתי
"
989, ערך ,"למעשה הדבר אפילו מצויין בפירוש בערך האנגלי ממנו תורגם הערך
"
990, עמוד ,"עמוד זה מכיל את רשימת הערכים חסרי התמונות בקטגוריה היסטוריונים
"
992, קישורים ,"קישורים חיצוניים תנועות נוער ציוניות בגולה תנועת העבודה הישראלית
"
993, רבים  דיון ,"רבים הביעו כבר את דעתם והדיון פורסם בכל המקומות הרלוונטיים
"
994, ערך ,"אבקש לכל הפחות להעלות את הנושא והערך החדש לדיון החברים
"
995, ביקורות  הן ,"ביקורות סדרת הקומיקס התקבלה בחום בקרב המבקרים והן אצל הקוראים
"
998, שרון ,"במסגרת הנאום הביע לראשונה שרון תמיכה פומבית בתוכנית מפת הדרכים
"
1000, סיפור ,"הסיפור שנכתב בערך נשמע הגיוני מבחינת התאמת הפרטים להיסטוריה
"
1001, אוכלוסייה ,"כאשר האוכלוסייה היהודית במקום גדלה החלה להתפתח בו תרבות יהודית
"
1002, צורת ,"כמו כן צורת הצגת התוכן בטבלה מקובל בויקיפדיה כשמדובר ברשימה
"
1003, מסקנות ,"מסקנות הדו""ח מתייחסות לפעילות רשויות המדינה העדר נהלים וכיו""ב
"
1005, מקור  דבר ,"ראיתי שכתבת שמקור התבנית הוא בטעות ובזה הסתיים הדבר מבחינתי
"
1006, תקופת ,"תקופת המחשוב המודרנית החלה לפני ובמשך מלחמת העולם השנייה
"
1007, עידוד ,"בין השאר עידוד הצריכה גרם לגידול משמעותי בכמות המכוניות הפרטיות
"
1008, דוד  הדגשה ,"דוד פירושונים ההדגשה לגיטימית אבל למה שחזרת את הנוסחה המתמטית
"
1010, מכתש ,"המכתש התגלה באקראי במסגרת סיור של חברי תנועת המחנות העולים
"
1011, הקלטת ,"הקלטת הבכורה התקיימה באולפני קול ישראל בתל אביב בליווי פסנתר
"
1013, נוסף ,"נוסף על ערכים שכתבתי לגבי אוגנדה נכנסתי למיזם יהדות אתיופיה
"
1014, ניתוח ,"ניתוח סטטיסטי לגבי ספריות לאומיות צריך להופיע בערך ולא ברשימה
"
1015, עמוד ,"עמוד זה מכיל את רשימת הערכים חסרי התמונות בקטגוריה מתמטיקאים
"
1017, שאלת ,"בקשר לשאלה ששאלת במזנון מקובל לשאול שאלות כאלה בדלפק היעוץ
"
1018, לקוחות ,"לקוחות הרשת משלמים דמי חבר שנתיים לצורך חברות במועדון הלקוחות
"
1019, ניסיונות ,"ניסיונות פלישה אלו הם בין המאורעות הידועים ביותר בהיסטוריה היפנית
"
1020, קהילה ,"תרגמתי את השאלות שלו לעברית במטרה שהקהילה תענה בשיטה ויקיפדית
"
1022, מבנה ,"המבנה הוא הקתדרלה הנאו גותית הקתולית הגדולה ביותר באמריקה הצפונית
"
1023, שאיפה  התגלתה ,"השאיפה לאיחוד סיני תחת הרפובליקה הסינית התגלתה כבלתי ניתנת למימוש
"
1024, בויקיפדיה ,"לצורך העניין אף נכתבו בויקיפדיה ערכים חדשים לצורך הפנייה אליהם
"
1025, ו  אירועים ,"ציוני דרך ומדיניות אירועים מרכזיים האירועים מסודרים בסדר כרונולוגי
"
1027, מבנה ,"מבנה הפארק דומה מאוד למבנה פארק השעשועים דיסנילנד שבמדינת קליפורניה
"
1028, אלקטרוניקה ,"אלקטרוניקה צבאית כוללת פיתוח וייצור של ציוד אלקטרוני לשימושים צבאיים
"
1029, ליגה ,"הליגה הפדרלית הראשונה הייתה ליגת הכדורגל הבכירה בסרביה ומונטנגרו
"
1030, רקע ,"רקע הלוגיקה המתמטית מאפשרת לנסח פסוקים מתמטיים באופן חד משמעי
"
1033, מהדורה ,"מהדורה מורחבת בעברית תצא לאור בהוצאת יד יצחק בן צבי
"
1036, משחק ,"המשחק שימש גם את חיילי הנחתים וגם יצא לציבור הרחב
"
1037, ו ,"בעקבות הסרט יצרו סדרת משחקים וחלקם זכו להצלחה גדולה
"
